,condition,sample_num,mean_intensity_0to10,mean_intensity_80to90,lt_over_side_enrichment,stage
35,wt,40,5.369916341633800,5.846310376132590,0.9185137285143700,3
15,wt,631,5.366272881597090,5.000765372610720,1.0730903135324600,3
24,wt,19,5.580907203533680,5.131326546676380,1.0876148989482100,3
33,wt,36,4.3191544952399700,3.8499100114515800,1.1218845329871700,3
0,wt,60,3.887840812934260,3.377123884816430,1.1512283663664300,3
29,wt,29,6.442018503153300,5.1089275819352,1.260933610789830,3
26,wt,645,6.402767852300840,4.854519939800800,1.3189291488549500,3
14,wt,630,7.164452152588060,5.177117267797030,1.383869010878460,3
24,wt,643,5.601587133094230,3.959566792181710,1.4146969673942000,3
25,wt,21,8.74159786062804,5.76309377743052,1.5168238099581100,3
19,wt,7,5.39848873209889,3.35805323222768,1.6076245249148800,3
16,wt,1,4.675512329960050,2.8388131800132900,1.6469954285396700,3
22,wt,16,6.249651072458150,3.259825588259000,1.9171734509256200,3
38,wt,47,6.127597547848770,6.424368898808200,0.9538053689578000,4
21,wt,13,5.399825731382680,4.975981848432780,1.085177939924240,4
30,wt,30,6.007441410135060,5.487153260621290,1.0948193215683700,4
32,wt,33,4.319094516889900,3.7042223934729800,1.1659922267357200,4
17,wt,2,4.933584084148390,4.148131130945330,1.1893510422907100,4
26,wt,24,5.42120659252178,4.43981698785032,1.22104280589877,4
28,wt,27,6.873851223527070,4.94637357193996,1.3896749049690500,4
18,wt,6,7.423642222772350,4.8922356252677500,1.5174334989979300,4
3,wt,64,5.235037582021040,3.3742135905424600,1.5514837580804800,4
20,wt,11,6.226780501645490,3.9320305195393300,1.5836043160659400,4
17,wt,634,4.843016630758110,3.016452104497280,1.6055340721430900,4
34,wt,17,4.988139391357740,4.692837707099130,1.0629260380796700,5
42,wt,35,4.7827583458821600,4.4267483958013400,1.080422449674010,5
38,wt,25,6.168102730596110,4.200284387848820,1.4684964542972500,5
28,wt,5,7.386555863614680,5.007274380538190,1.4751649904235400,5
37,wt,23,6.974739870143580,4.631194042656560,1.5060349028568700,5
