,sample,masked_medial_cells,mig_speed_um_per_min
1,10930abi_01,Yes,0.5779570100425600
2,10930abi_02,Yes,0.3122572226547230
3,10930abi_03,Yes,0.46749764407018200
4,10930abi_04,No,0.08196280574542000
5,10930abi_05,Yes,0.46575247047092900
6,10930abi_06,Yes,0.3667888488031210
7,10930abi_07,No,0.08894923851511800
8,10930abi_08,No,0.09546575159898290
9,10930abi_09,No,0.18467595239909800
10,10930abi_10,Yes,0.2093808071410490
11,10930abi_11,Yes,0.07524049968248020
12,10930abi_12,Yes,0.16733404841737800
13,10930abi_14,Yes,0.2613672438234070
14,10930abi_15,No,0.20274730279282900
15,10930abi_16,No,0.12549821587257600
16,10930abi_17,Yes,0.18333068177370300
17,10930abi_18,Yes,0.34786499407048200
18,10930abi_19,Yes,0.18555133413731700
19,10930abi_20,Yes,0.5417267898032320
20,10930abi_21,No,0.08884703180665300
21,10930abi_22,Yes,0.47807362653133900
22,10930abi_23,No,0.3526748957838840
23,10930abi_24,Yes,0.5995188065253430
24,10930abi_25,No,0.12507691340718900
25,10930abi_26,Yes,0.3467702036262540
26,10930abi_27,No,0.1441635955457050
27,10930abi_28,Yes,0.23163204210280600
28,10930abi_29,Yes,0.3906380254628330
29,10930abi_30,Yes,0.4764273724211010
30,10930abi_31,Yes,0.11456179859828600
31,10930abi_32,Yes,0.2913867179185360
32,10930abi_33,Yes,0.4010445884688900
33,10930abi_34,Yes,0.25376186725856500
34,10930abi_35,Yes,0.5410491171625340
35,10930abi_36,Yes,0.16262625416782900
36,10930abi_37,No,0.1304021687496190
37,10930abi_38,Yes,0.2230331903966770
38,10930abi_39,No,0.1000297476331850
39,10930abi_42,No,0.1887666965348250
40,10930abi_43,Yes,0.4428282367511430
41,10930abi_44,Yes,0.41768782726149800
42,10930abi_45,Yes,0.28148793307827400
43,10930abi_46,Yes,0.7365415953176910
44,10930abi_50,Yes,0.7894561803338840
45,10930abi_52,Yes,0.22681794410242900
46,10930abi_53,Yes,0.21041256168284000
47,10930abi_54,Yes,0.46696907465111700
48,tjabi_50,No,0.03900523554911290
49,tjabi_51,No,0.09584499431141390
50,tjabi_52,No,0.07909588659510960
51,tjabi_53,No,0.1924110708149860
52,tjabi_54,No,0.021209450972259100
53,tjabi_01,Yes,0.00789197128919097
54,tjabi_02,Yes,0.13406822137754100
55,tjabi_03,Yes,0.0502196220154381
56,tjabi_04,Yes,0.025454123621798400
57,tjabi_05,Yes,0.02736064248442400
