,Unnamed: 0,cell,centroid_row,centroid_col,frame
0,0,1,208.88483146067412,536.9027068437181,0
1,1,2,211.94745139253808,475.8368365738308,0
2,2,3,227.33676092544988,592.881046973592,0
3,3,4,235.3660797034291,363.0291936978684,0
4,4,5,249.9051562917446,400.2519369489714,0
5,5,6,273.39224722146923,299.56627812415286,0
6,6,7,274.3438625204583,482.4932896890344,0
7,7,8,290.05959956541983,637.3054477727767,0
8,8,9,285.1300578034682,556.3176563321072,0
9,9,10,301.8959143968872,387.0301556420234,0
10,10,11,355.1514773940904,344.0299038803845,0
11,11,12,354.2204502814259,435.3935272045028,0
12,12,13,344.85271949480546,521.4188225707884,0
13,13,14,345.52894491129786,594.2429971988796,0
14,14,15,349.9367903103709,693.3928841786525,0
15,15,16,364.2471651854122,266.9085197670855,0
16,16,17,370.6099173553719,652.3246280991735,0
17,17,18,417.4171404506212,548.2697409981049,0
18,18,19,420.1932899349024,483.3238190619262,0
20,20,21,425.4171138938581,625.2622242098986,0
21,21,22,438.14003855312393,312.7192425445062,0
22,22,23,426.2130492676432,697.6492676431425,0
23,23,24,432.5720304975923,394.5742375601926,0
24,24,25,471.90175049309664,214.6712278106509,0
25,25,26,468.163215590743,740.8538367844093,0
26,26,27,483.2483133124897,448.870659865065,0
27,27,28,483.19955519611807,570.5369995956328,0
28,28,29,489.4450784593438,643.4684736091298,0
29,29,30,518.204989154013,680.6624186550977,0
30,30,31,511.0693947144075,293.40477408354644,0
31,31,32,516.7092792594225,375.8483579457791,0
32,32,33,520.4445477795862,518.3078353871193,0
33,33,34,536.2072349971958,719.3839035333707,0
35,35,36,542.7031932000918,606.1704571559844,0
36,36,37,557.0717048018047,452.9622945536577,0
37,37,38,571.8595611285266,245.18934169279,0
38,38,39,581.568493150685,322.4920356801529,0
39,39,40,581.5725091852172,540.9245731575535,0
40,40,41,602.2405247813412,397.1237244897959,0
41,41,42,585.7871485943775,639.1742971887551,0
42,42,43,606.7805500425291,694.4717890558549,0
44,44,45,608.6849143334726,595.4191391558713,0
45,45,46,623.9427269124059,480.6026555687673,0
46,46,47,630.2410750100281,641.5014039310068,0
47,47,48,633.2977711738484,252.64606240713223,0
48,48,49,658.3425750608602,324.1008926156343,0
49,49,50,663.9222065063649,547.2058777306302,0
50,50,51,707.15001674294,474.89809130483314,0
51,51,52,702.9306469298245,397.9370888157895,0
52,52,53,708.8689090125054,586.5476498490729,0
53,0,1,211.6830526887561,539.0171102661596,1
54,1,2,214.73396169048343,479.328367284889,1
55,2,3,226.5290395480226,596.6194350282486,1
56,3,4,235.46390658174096,363.0488322717622,1
57,4,5,251.54663487016427,400.0906200317965,1
58,5,6,275.48266179980345,300.91590621928964,1
59,6,7,274.01551389786687,483.36425339366514,1
60,7,8,289.6053000779424,638.3192517537022,1
61,8,9,284.92897497982244,557.1035781544256,1
62,9,10,302.0390663390663,387.831203931204,1
63,10,11,355.82761669024046,345.26290664780765,1
64,11,12,354.46559981310594,436.4346454853405,1
65,12,13,344.75162206001625,522.7998783454988,1
66,13,14,344.7688209404679,595.4283066944638,1
67,14,15,349.4457056375331,694.1823685206205,1
68,15,16,365.4081006443694,268.26971463639154,1
69,16,17,370.2273180458624,653.5008308408109,1
70,17,18,417.6055400472407,548.6963710543268,1
71,18,19,420.3701722120047,484.6609262665106,1
73,20,21,424.8175824175824,625.9463736263737,1
74,21,22,439.12865362485616,313.783084004603,1
75,22,23,424.405852072609,698.8520726090491,1
76,23,24,432.574155948553,394.824155948553,1
77,24,25,473.1938376638308,210.8400781788917,1
78,25,26,465.9596997234295,743.3607269853812,1
79,26,27,483.2331715210356,448.8618122977346,1
80,27,28,482.1978269782698,571.8585485854859,1
81,28,29,490.11869107043816,644.1344980587909,1
82,29,30,516.2214992191567,683.2332118688183,1
83,30,31,511.58284272497895,292.4349873843566,1
84,31,32,517.1460275188638,375.9520639147803,1
85,32,33,520.2172149616945,519.2629562866156,1
86,33,34,536.5792945225122,719.9767708632062,1
88,35,36,543.0542294322132,607.885979142526,1
89,36,37,557.083185840708,452.5209975864843,1
90,37,38,565.4000995272456,249.18835531226676,1
91,38,39,581.6555900621119,323.6046583850932,1
92,39,40,581.1036521004855,542.1524171416509,1
93,40,41,603.9201414743112,398.59959046909904,1
94,41,42,586.3624296057924,640.8008849557522,1
95,42,43,592.7828676133761,689.5409986257444,1
97,44,45,607.8132295719844,596.6467790747946,1
