,Unnamed: 0,cell,centroid_row,centroid_col,frame
1,1,2,226.88328267477203,449.3961499493415,0
2,2,3,244.17430517209644,646.1351003129026,0
3,3,4,248.733136812901,582.4033292873245,0
4,4,5,248.23407809563585,329.5205679682606,0
6,6,7,245.0482350361763,509.49155886866913,0
7,7,8,268.943236269812,393.0381496498341,0
8,8,9,280.3045416550571,761.1623014767345,0
9,9,10,324.3824537354352,261.1871144619602,0
10,10,11,312.7403324584427,538.8498687664041,0
11,11,12,316.7872826277885,688.6290180923942,0
12,12,13,318.5611334616057,466.8670631450061,0
13,13,14,328.74708468744024,334.51309501051423,0
14,14,15,335.7884744623656,616.3948252688172,0
15,15,16,340.4029092588317,406.9526668205957,0
16,16,17,356.4016713091922,756.5434540389972,0
17,17,18,389.80627593361,802.6452282157676,0
18,18,19,406.542644944897,560.6764095192461,0
19,19,20,410.0028465075542,676.2531202102036,0
20,20,21,392.1703400503778,303.397040302267,0
21,21,22,401.8527941176471,433.2832352941177,0
22,22,23,416.1097888675624,247.17581573896356,0
23,23,24,433.8555523423945,175.12565066512434,0
24,24,25,423.7097767513472,741.2381318963305,0
25,25,26,436.3208933294152,849.0866882162798,0
26,26,27,414.41029962546816,358.0516853932584,0
27,27,28,457.9580078125,505.10986328125,0
28,28,29,470.5482524778299,306.02921231090244,0
29,29,30,465.7038891028109,433.11744320369655,0
30,30,31,486.6544821583986,764.0413402959094,0
31,31,32,483.1862549800797,815.7416334661355,0
32,32,33,491.2504009623095,641.3632718524459,0
33,33,34,501.0146882093737,220.20710375216984,0
34,34,35,502.4748593211109,570.7286258849156,0
35,35,36,513.1360737065911,375.1796598157336,0
36,36,37,516.158591785415,707.9381391450125,0
37,37,38,510.9333333333333,891.9759595959596,0
38,38,39,517.0505689001264,461.2978508217447,0
40,40,41,554.7146875627889,508.90536467751656,0
41,41,42,550.435983935743,296.0692369477912,0
42,42,43,565.8117326057298,786.0678035470669,0
43,43,44,576.2637698009011,637.5699752942886,0
44,44,45,575.7600361663652,430.3690777576854,0
45,45,46,583.4780709736124,563.0214740673339,0
47,47,48,583.3856555973981,223.0746319753509,0
48,48,49,594.5800427932309,354.19665434740324,0
49,49,50,592.6958895311496,845.296082209377,0
50,50,51,604.5670214685189,703.1372902760238,0
52,52,53,637.316729116156,807.0385717434428,0
53,53,54,646.1711229946524,473.9842543077837,0
54,54,55,629.5894228659206,285.2067149440421,0
56,56,57,652.9582969813296,397.8686093177456,0
57,57,58,655.1758067360254,601.2764944454241,0
58,58,59,671.0448333333334,538.4318333333333,0
59,59,60,662.803020897993,739.2482929857232,0
60,60,61,661.3072433006103,217.39984080658,0
61,61,62,696.7212315408192,323.2117581499025,0
62,62,63,678.2779922779923,662.5240804714489,0
64,64,65,725.1621863799284,249.21658986175115,0
65,65,66,722.7012987012987,778.4145980601677,0
66,66,67,715.6848982072319,433.3804314797934,0
67,67,68,730.4046642747309,379.7880574064582,0
68,68,69,744.5112912565141,492.2366821077012,0
69,69,70,731.7081896551724,691.26875,0
70,70,71,741.6110804343825,590.4632799558256,0
71,71,72,790.2042960902488,645.839282954721,0
75,75,76,808.470469694621,517.0833979228026,0
78,1,2,225.61172803428795,449.7960257159556,1
79,2,3,242.90079652425777,644.9040550325851,1
80,3,4,247.8405120221415,581.507005708355,1
81,4,5,252.68548576805455,326.26699600094094,1
82,5,7,243.30925411412696,509.25945714896346,1
83,6,8,267.64418394950405,392.068349864743,1
84,7,9,279.4131193300768,759.904954640614,1
85,8,10,324.5093081411503,260.0527924423451,1
86,9,11,312.737260321299,538.2238728623252,1
87,10,12,316.93751125517736,687.4176121015668,1
88,11,13,319.4103987884907,465.51741544674405,1
89,12,14,328.0495234535601,333.50345729770135,1
90,13,15,335.89693128752504,615.4474649766511,1
91,14,16,340.0480212355212,404.82915057915056,1
92,15,17,356.65736040609136,755.1565143824027,1
93,16,18,388.5974226804124,801.7981958762887,1
94,17,19,406.6528805922112,559.0182652075957,1
95,18,20,409.8247545052336,674.8277759792813,1
96,19,21,392.03268845897264,301.33322214809874,1
97,20,22,401.9510394697198,431.61780656824345,1
98,21,23,415.74246207029,246.2880737468792,1
99,22,24,431.1626082251082,172.9157196969697,1
100,23,25,423.1835245046924,740.0140771637122,1
101,24,26,439.11297297297295,848.9937837837838,1
102,25,27,413.3891891891892,356.892972972973,1
103,26,28,457.2380161366872,503.10915994304696,1
104,27,29,470.4489831092727,304.6664943123061,1
105,28,30,466.39263445050665,431.4312159002338,1
106,29,31,486.03777634685554,762.8722901910281,1
107,30,32,482.2985074626866,813.7117789431222,1
108,31,33,491.5318890463657,640.195991091314,1
109,32,34,500.7947214076247,218.74886696880836,1
110,33,35,502.3290460878885,569.4403358342265,1
111,34,36,513.2049982523594,374.0167773505767,1
112,35,37,515.5610661268556,707.0075910931174,1
113,36,38,510.5165061898212,889.2668500687757,1
114,37,39,517.0455254942768,460.4276795005203,1
116,39,41,554.4036378499898,507.8720621295728,1
117,40,42,550.5085788280998,294.6990935577857,1
118,41,43,565.6762982145291,784.9167234564536,1
119,42,44,576.0409155937053,636.1115879828326,1
