Unnamed: 0,cell,centroid_row,centroid_col,frame
0,1,242.5810276679842,482.2162055335969,0
1,2,240.45873605947955,571.3204460966542,0
2,3,253.3940708604483,395.2979031091829,0
3,4,270.8419377652051,432.5505657708628,0
4,5,268.74253600281,531.383210396909,0
5,6,278.79878691983123,353.5849156118143,0
6,7,270.40352220520674,590.4004594180705,0
7,8,291.9557148882328,662.3066216786166,0
8,9,291.8082855883649,476.3516967827237,0
9,10,315.85949973390103,563.7762107503992,0
10,11,306.5244755244755,618.7216783216783,0
11,12,308.47240143369174,314.10322580645163,0
12,13,312.5465626523647,394.9215017064847,0
13,14,320.1191135734072,275.1523545706371,0
14,15,326.11669535283994,508.29294320137694,0
15,16,334.99358190709046,439.049511002445,0
16,17,334.03327877795965,348.5160938352428,0
17,18,343.07272727272726,649.4595041322314,0
18,19,337.61882352941177,695.7894117647058,0
19,20,359.2940425531915,314.10936170212767,0
20,21,361.1029170763684,599.3408718452966,0
21,22,371.5717660956881,378.2802717070289,0
22,23,370.8974904296044,487.6967247979583,0
23,24,368.8950738916256,226.612315270936,0
24,25,369.09277031349967,271.7319257837492,0
25,26,381.5565425350188,538.2476938845234,0
26,27,383.69430485762143,720.4447236180905,0
27,28,376.3982222222222,685.2266666666667,0
28,29,392.8796245168416,432.9975151849807,0
29,30,404.5936188077246,638.7124265323258,0
30,31,409.2564962279967,291.54023470243084,0
31,32,417.2437762689945,338.7468477206596,0
32,33,412.5905463474524,581.4284837323511,0
33,34,420.5020841227738,198.96854869268665,0
34,35,430.0777554101661,245.0983895319577,0
35,36,426.29897260273975,488.3229452054794,0
36,37,437.8956661316212,728.3871589085072,0
37,38,423.6169714017816,682.4749179559307,0
38,39,432.2711774107619,386.96483750665953,0
39,40,448.8550857843137,436.0891544117647,0
40,41,455.1117861482381,529.9182867557715,0
41,42,456.9427542033627,586.4299439551642,0
42,43,466.6137413394919,639.0796766743649,0
43,44,473.42649727767696,295.01788955146486,0
44,45,468.031718061674,352.23039647577093,0
45,46,482.1359924623116,690.4086055276382,0
46,47,490.8761206193969,229.71121977723445,0
47,48,514.4394283858395,198.68723611562197,0
48,49,491.4130560369729,477.2741190063547,0
49,50,497.8957614588467,405.54780680138,0
50,51,501.902538071066,574.9407783417936,0
51,52,528.6084388185654,342.05632911392405,0
52,53,526.1711974110033,526.2291262135923,0
53,54,524.0767502807937,626.1583676525646,0
54,55,541.4818847046225,684.7995716580403,0
55,56,529.9181969949916,281.1168614357262,0
56,57,551.0518867924528,464.6721698113208,0
57,58,563.58329008822,406.2247016087182,0
58,59,564.940743767879,248.90069472823865,0
59,60,556.710057061341,586.3330955777461,0
60,61,578.2974767596281,519.5584329349269,0
61,62,582.1170514378291,294.5366545159984,0
62,63,595.7623843222646,351.9033750680457,0
63,64,599.9629906542056,611.1166355140186,0
64,65,615.1136363636364,562.2161931818182,0
65,66,610.232086682978,654.8206920657113,0
66,67,618.8931044032124,463.7272223760731,0
67,68,622.1158872077029,408.1189821182944,0
68,69,619.9150664697194,266.05686853766616,0
69,70,636.0027322404371,311.57206284153006,0
70,71,640.2764447448462,510.2426495437648,0
71,72,661.4214718063077,362.2812997769991,0
72,73,653.7434926644581,604.6587789872219,0
73,74,671.5327380952381,426.2771164021164,0
74,75,669.1572602739726,550.2630136986302,0
75,76,682.6281690140845,473.1695774647888,0
76,77,690.7550675675676,514.3032094594595,0
0,1,240.89540904383844,483.55540214014496,1
1,2,243.2506643046944,570.8503100088574,1
2,3,254.67182890855457,393.9646017699115,1
3,4,272.1569869764168,432.79303062302006,1
4,5,270.3934819897084,532.0607204116639,1
5,6,280.02159827213825,353.21922246220305,1
6,7,271.67849223946786,591.2609016999261,1
7,8,293.68501805054154,662.9896209386281,1
8,9,292.93859255939043,477.03854773644105,1
9,10,318.1941065152744,565.0232495268991,1
10,11,307.4004608294931,619.3502304147465,1
11,12,309.0359971202304,314.18430525557955,1
12,13,312.9204168640455,393.7593557555661,1
13,14,320.3728735632184,275.1567816091954,1
14,15,327.22116366110924,509.6172167403879,1
15,16,336.0538077036166,439.73154954425166,1
16,17,335.3187823090178,347.45548535324525,1
17,18,343.77272727272725,650.9391233766233,1
18,19,338.158371040724,698.3591628959276,1
19,20,359.7609841827768,313.35193321616873,1
20,21,362.3642857142857,601.8931972789115,1
21,22,372.5175736961451,377.85515873015873,1
22,23,372.4436590436591,490.73305613305615,1
23,24,369.70005083884087,226.86527707168275,1
24,25,368.67198468410976,271.29610721123163,1
25,26,383.5441176470589,541.7503419972641,1
26,27,384.95088566827695,720.9694041867955,1
27,28,376.5789220404235,686.332531280077,1
28,29,394.36033446563886,434.2166187614319,1
29,30,404.9882154882155,641.1140572390573,1
30,31,409.37280137280135,290.983268983269,1
31,32,418.12962377489725,337.8093582042365,1
32,33,413.72730109204366,584.2321372854914,1
33,34,422.0696480938416,198.3181818181818,1
34,35,430.9495073891625,245.80714285714285,1
35,36,427.57755443886094,491.0804020100503,1
36,37,438.98243288034473,728.1909181305933,1
37,38,424.295089707271,683.6067044381492,1
38,39,434.4421319796954,386.7746192893401,1
39,40,451.0194961007799,437.1085782843432,1
40,41,457.247963800905,532.4141779788839,1
41,42,458.7434782608696,588.0079051383399,1
42,43,467.5926139642239,640.3202538949798,1
43,44,474.9508492022645,295.87776634071025,1
44,45,469.8527827648115,352.06867145421904,1
45,46,482.7619667860632,690.4549006838164,1
46,47,491.9718045112782,229.92857142857144,1
47,48,517.5629074315515,198.95664928292047,1
48,49,492.8710860366714,479.3565585331453,1
49,50,499.9535957240039,406.22886297376095,1
50,51,504.2900403768506,576.7621130551817,1
51,52,530.9712837837837,342.71600506756755,1
52,53,528.9808201058202,527.7599206349206,1
53,54,525.6353928299009,627.2131960335622,1
54,55,542.3940632776395,685.369001066477,1
55,56,531.5699100572363,281.7301717089125,1
56,57,552.43062451006,466.0313561536452,1
57,58,565.4884937238494,407.13441422594144,1
58,59,565.3835845896148,248.73827470686768,1
59,60,558.8023588277341,587.205146533238,1
60,61,581.2173913043479,520.5797101449275,1
61,62,583.7372322899506,294.088550247117,1
62,63,597.2750677506775,352.3528455284553,1
63,64,601.3526986506747,611.281484257871,1
64,65,616.7552264808362,562.0159698025552,1
65,66,611.0763623741757,655.2933009371745,1
66,67,619.5391705069125,463.9552724315533,1
67,68,624.4581482746839,407.79296207721217,1
68,69,620.3453343130052,264.6193975018369,1
69,70,635.9538034039597,311.14310524487666,1
70,71,642.8835997220292,509.93954134815846,1
71,72,662.9667634720878,361.9280413036464,1
72,73,656.2079030085316,603.4315222272115,1
73,74,674.3684380032206,426.58743961352656,1
74,75,670.1204954954954,550.7438063063063,1
75,76,684.9683646112601,473.72332439678286,1
76,77,692.0016792611251,514.7346767422334,1
77,80,232.81098339719028,533.8275862068965,1
0,1,241.6216216216216,483.449146514936,2
1,2,242.34722222222223,572.3080065359477,2
2,3,253.50359138068637,394.23942537909016,2
3,4,271.4072091363312,430.7448251249108,2
4,5,271.244094488189,531.7583019513866,2
5,6,279.45978260869566,351.6383152173913,2
6,7,272.36086662153014,590.2457684495599,2
7,8,292.51816530426885,661.5068119891008,2
8,9,291.7261174408414,476.715162138475,2
9,10,319.97967914438505,566.2347593582888,2
10,11,307.77312072892937,620.0282460136674,2
11,12,308.3136396790664,313.15171407731583,2
12,13,311.7875234521576,392.9709193245778,2
13,14,319.2526833631485,273.7602862254025,2
14,15,328.49901832460733,510.36027486911,2
15,16,335.1328036322361,439.52639046538025,2
16,17,334.7536723163841,346.49435028248587,2
17,18,343.89713114754096,651.6741803278688,2
18,19,338.3805202661827,696.7791893526921,2
19,20,358.7259786476868,312.1681494661922,2
20,21,363.7363184079602,604.0110163468372,2
21,22,372.2511704764528,377.1255852382264,2
22,23,373.773013375295,491.37411487018096,2
23,24,369.4033780427223,226.58618976651763,2
24,25,368.1501925545571,270.4666238767651,2
25,26,385.0708741140736,543.856226797165,2
26,27,384.4364444444444,719.8764444444445,2
27,28,376.9376237623762,686.1554455445545,2
28,29,394.38315356959424,434.2010785824345,2
29,30,406.1310285958173,642.3883909517713,2
30,31,408.43806258036864,290.1260180025718,2
31,32,417.5198362720403,336.7984886649874,2
32,33,414.72062992125984,586.5744881889764,2
33,34,421.0946148092745,198.6884816753927,2
34,35,431.05917602996254,245.62421972534327,2
35,36,429.7044639947866,490.8745519713262,2
36,37,439.4844489519946,726.8904665314402,2
37,38,424.4339894383101,683.8612578012481,2
38,39,434.06196038598273,386.4900964956831,2
39,40,452.1190617577197,436.2051662707838,2
40,41,458.36497208345577,532.9714957390538,2
41,42,459.9443791617705,588.1088915001958,2
42,43,468.6037735849056,640.3626179245283,2
43,44,474.5519463779325,295.9133797370456,2
44,45,470.31727430555554,352.1115451388889,2
45,46,482.8665772712035,689.375796178344,2
46,47,491.5810340208947,229.67130993838737,2
47,48,518.0416395575797,198.16363044892648,2
48,49,494.201384881708,479.2391806116561,2
49,50,500.8020552972841,406.3354538781503,2
50,51,505.8043404543913,576.2658528314684,2
51,52,531.0554621848739,341.5909663865546,2
52,53,531.0029585798817,526.7942143326759,2
53,54,526.2720060445788,626.2776728371741,2
54,55,542.5166515013649,684.1919927206551,2
55,56,531.5318805488297,279.9455205811138,2
56,57,553.601944298476,465.3100367840252,2
57,58,565.6293650793651,406.6198412698413,2
58,59,566.557834290402,247.181706316653,2
59,60,559.8682699210337,586.6249102656138,2
60,61,582.9683714670256,519.5238896366084,2
61,62,584.5001980198019,293.18851485148514,2
62,63,597.0460596379127,351.91560170394035,2
63,64,601.761813292355,610.2208989627353,2
64,65,617.517443564937,561.4816769275873,2
65,66,611.1077452667814,653.7614457831326,2
66,67,621.1000533617929,462.8946104589114,2
67,68,624.8694758478931,406.7290167865708,2
68,69,621.5430029154519,264.48250728862973,2
69,70,637.0551773557864,310.35936940164817,2
70,71,644.2527126356318,509.52362618130906,2
71,72,663.4076677316294,360.84217252396166,2
72,73,656.8167492120666,603.0229626294462,2
73,74,672.8359566281916,425.6666666666667,2
74,75,670.0699017908723,550.6504910456383,2
75,76,684.7348261638185,472.8715380082498,2
76,77,691.0692520775623,514.8236380424746,2
0,1,242.06057185854024,483.2490594431904,3
1,2,243.48474576271187,573.556779661017,3
2,3,249.92396469789543,395.837067209776,3
3,4,271.2911711711712,431.8976576576577,3
4,5,271.13713080168776,532.507735583685,3
5,6,278.2975929978118,352.6318380743983,3
6,7,272.43962008141114,592.0881953867029,3
7,8,292.33079847908743,662.2581326573722,3
8,9,290.82130281690144,477.95730633802816,3
9,10,319.8289162949357,567.6901075833115,3
10,11,308.1803435114504,620.5181297709923,3
11,12,307.02296296296294,313.3955555555556,3
12,13,310.6627524659464,393.33771723814,3
13,14,319.46638457921955,274.6596144804889,3
14,15,328.24240486088905,511.67188999040616,3
15,16,334.0653650254669,439.9615166949632,3
16,17,333.9686825053996,346.8914686825054,3
17,18,344.10676446617765,652.4368378158109,3
18,19,338.1841661987648,699.2206625491297,3
19,20,357.9235190097259,312.48541114058355,3
20,21,364.3152924082819,605.2379222666183,3
21,22,372.0807186913382,377.703405738804,3
22,23,373.7984962406015,491.97857142857146,3
23,24,369.21628249141736,226.44286414909269,3
24,25,367.94061907770055,270.9204042956412,3
25,26,385.6193293885602,545.1347797501644,3
26,27,384.4551056338028,720.9533450704225,3
27,28,376.70706059088633,687.1597396094141,3
28,29,394.3006119326874,434.6175420703723,3
29,30,405.7417102966841,643.7033158813264,3
30,31,408.0156046814044,291.1569137407889,3
31,32,417.98280712722726,337.49546733354174,3
32,33,415.4955780164245,588.1907770056854,3
33,34,421.92194092827,198.60935302391,3
34,35,431.0405472636816,246.91940298507464,3
35,36,430.4088433194489,492.1329702018584,3
36,37,437.41994247363374,729.8536273569831,3
37,38,423.5734165067179,685.4635316698657,3
38,39,434.1866104375329,386.5266209804955,3
39,40,452.356446991404,436.9882521489972,3
40,41,459.2419165196943,534.9976484420929,3
41,42,459.8337147215866,591.9858886346301,3
42,43,469.1617427633542,643.7806624888093,3
43,44,475.2490272373541,296.60985732814527,3
44,45,471.03320722992856,352.38881883144177,3
45,46,482.3270996259776,692.2492349540972,3
46,47,490.8821160042965,230.0606874328679,3
47,48,519.8843450479234,199.82332268370607,3
48,49,495.1639722863741,480.5993071593534,3
49,50,501.3348690591658,407.8654219204656,3
50,51,505.92998324958126,577.812730318258,3
51,52,531.856425282545,342.73817496860613,3
52,53,530.8222519211494,527.2325425993986,3
53,54,525.6684719535783,627.2309477756286,3
54,55,542.2720759448325,685.2787032061616,3
55,56,531.8332657200812,280.39918864097365,3
56,57,554.823846776369,467.089290531427,3
57,58,565.5852886896915,407.9926179804904,3
58,59,566.5183792815371,248.1106934001671,3
59,60,559.2779174147217,587.4531418312388,3
60,61,583.4285714285714,520.9356469002695,3
61,62,584.913179507235,293.7888150175987,3
62,63,597.8525198938992,352.4092838196286,3
63,64,601.4201744406522,611.7542662116041,3
64,65,617.4164746543779,562.7315668202765,3
65,66,610.9598883850715,655.063132193931,3
66,67,621.393002441009,464.049091402224,3
67,68,624.6663306451613,407.8971774193548,3
68,69,621.5846042120552,264.62672476397967,3
69,70,637.1543004798818,310.79438907345883,3
70,71,644.5484658298466,510.5122036262204,3
71,72,663.7619949494949,361.863952020202,3
72,73,657.140907089388,603.5640686922061,3
73,74,674.035140562249,426.0458500669344,3
74,75,671.6278409090909,551.7977272727272,3
75,76,686.3161567364466,472.9162640901772,3
76,77,691.1606313834726,514.6508820798514,3
77,80,232.93551912568307,535.9016393442623,3
0,1,240.66278222869627,482.4865258557903,4
1,2,242.63342318059296,571.1814914645104,4
2,3,253.68606701940035,396.8447971781305,4
3,4,271.11660516605167,432.4619926199262,4
4,5,271.1552949538024,532.4310589907604,4
5,6,278.57766990291265,353.31382067390064,4
6,7,272.1233985165206,592.2346594740391,4
7,8,290.6336996336996,661.1302401302402,4
8,9,290.28942731277533,478.484140969163,4
9,10,319.1232339089482,567.0795395081109,4
10,11,307.70654205607474,620.9126168224299,4
11,12,306.9248175182482,313.4270072992701,4
12,13,309.6850501367365,393.85095715587966,4
13,14,319.4442404772832,274.1225332721432,4
14,15,328.3052597612133,510.41497257179736,4
15,16,334.0091664279576,440.0243483242624,4
16,17,333.6809750927398,347.0551139374669,4
17,18,344.1241883116884,652.2743506493506,4
18,19,338.55860491709547,699.0291595197256,4
19,20,358.1591007349762,312.2412451361868,4
20,21,363.91754449691246,605.3160188884852,4
21,22,371.2077215878195,377.7047308319739,4
22,23,374.34818114328135,491.1900519673348,4
23,24,369.7118226600985,226.1118226600985,4
24,25,368.3464665415885,270.2326454033771,4
25,26,385.1540372670808,545.3335403726708,4
26,27,384.9142367066896,721.2409948542024,4
27,28,377.0133070478068,686.6392311483489,4
28,29,394.7543059777103,433.63272543059776,4
29,30,406.1869158878505,643.8197596795727,4
30,31,408.1854130052724,290.6788224956063,4
31,32,417.94869373622913,336.5080264400378,4
32,33,415.6596612296111,588.211104140527,4
33,34,422.3067092651757,198.2949946751864,4
34,35,431.23375,246.9145,4
35,36,430.8910029022896,491.54692034827474,4
36,37,438.2654949121184,730.554733271662,4
37,38,423.965617433414,685.477966101695,4
38,39,434.6560039370079,385.6668307086614,4
39,40,452.45587804163,436.6754617414248,4
40,41,460.1010684377707,534.7043026277794,4
41,42,460.3923019985196,592.4148778682458,4
42,43,469.4928014397121,644.0749850029994,4
43,44,475.40010460251045,296.5821129707113,4
44,45,471.20307167235495,352.3762798634812,4
45,46,481.75822253324,692.3950314905528,4
46,47,491.34860664523046,230.09512325830653,4
47,48,518.1669301296238,198.82990831489093,4
48,49,495.0142690739662,480.2367501456028,4
49,50,501.759053597296,407.9966199903428,4
50,51,506.46111869031375,578.1275579809004,4
51,52,531.9430393198725,343.2469713071201,4
52,53,531.4139749505604,527.4624258404746,4
53,54,525.6503875968992,628.4872093023256,4
54,55,541.7738359201774,685.6350702143385,4
55,56,531.4583333333334,281.3111111111112,4
56,57,554.7659109532915,466.80005462988254,4
57,58,565.5879032258065,408.28252688172046,4
58,59,566.0505756578947,247.86965460526315,4
59,60,558.8881626724764,587.0617283950618,4
60,61,583.0127060439561,520.2874313186813,4
61,62,584.5357833655706,294.25377176015473,4
62,63,598.1116094986808,352.90395778364115,4
63,64,599.9314711359405,612.1225325884544,4
64,65,617.5677894140956,562.8123407868667,4
65,66,609.8726772195457,655.2759807295251,4
66,67,621.2316399779128,464.03202650469353,4
67,68,624.2781879194631,407.9063758389262,4
68,69,621.2476868327402,264.3380782918149,4
69,70,637.1921812203142,311.0054804530508,4
70,71,644.1219925449001,510.6624872924433,4
71,72,663.8701004211208,362.2633624878523,4
72,73,656.6232967032967,604.8646153846154,4
73,74,673.7202498356345,426.0059171597633,4
74,75,672.4632516703787,552.8056792873051,4
75,76,685.5756560580681,472.6940256839754,4
76,77,691.4893805309734,514.8477876106194,4
77,80,233.64574468085107,535.5468085106382,4
0,1,241.89791183294665,481.546403712297,5
1,2,243.23862729449323,573.1252992817239,5
2,3,249.5293691080493,395.7904278462654,5
3,4,270.76089427813565,432.1792345585449,5
4,5,270.96376554174066,532.3218472468917,5
5,6,277.8485018202184,352.2136656398768,5
6,7,272.30699088145894,593.2127659574468,5
7,8,292.1050709939148,663.1594320486815,5
8,9,289.92709270927094,478.3006300630063,5
9,10,319.0106598984772,567.1911167512691,5
10,11,307.1593866171004,621.153345724907,5
11,12,306.89171974522293,313.19674451521587,5
12,13,308.7524101665206,393.9539877300613,5
13,14,320.11718388142657,274.9393237610005,5
14,15,327.3954471544715,510.229918699187,5
15,16,333.04466357308587,440.49477958236656,5
16,17,333.45623342175065,347.0132625994695,5
17,18,344.1671446128636,652.21548545678,5
18,19,338.3699164345404,698.7058495821727,5
19,20,358.57174103237094,312.16491688538935,5
20,21,364.0283662477559,605.4427289048474,5
21,22,370.81437768240346,377.6952789699571,5
22,23,373.8424759080801,490.8465530022239,5
23,24,370.1057957681693,224.8081876724931,5
24,25,369.24938725490193,269.8584558823529,5
25,26,385.58526187576126,544.9945188794153,5
26,27,384.6436597110754,721.6324237560193,5
27,28,377.3400889767672,686.7913989125062,5
28,29,393.5485036119711,433.03998968008256,5
29,30,406.7887197851388,643.5367054610564,5
30,31,408.86660929432014,290.69965576592085,5
31,32,417.9208860759493,336.8661392405064,5
32,33,416.2790199081164,588.5880551301684,5
33,34,422.6812056737589,198.2595744680851,5
34,35,432.6193710691824,246.6935849056604,5
35,36,430.7526218383714,490.5820481184454,5
36,37,436.488423028786,730.6989987484355,5
37,38,424.17752918287937,684.8497081712062,5
38,39,434.6280457483839,385.5101939333665,5
39,40,451.8426736719206,436.0548744892002,5
40,41,460.7851428571428,533.9074285714286,5
41,42,461.97076239822354,591.9045151739452,5
42,43,469.855098934551,643.8697108066971,5
43,44,475.7389705882353,296.82431722689074,5
44,45,471.267094017094,352.1555555555556,5
45,46,481.3933241569167,692.1159669649002,5
46,47,492.3179772306063,230.2001588562351,5
47,48,518.0036136662286,199.07128777923785,5
48,49,495.7182222222222,479.7694814814815,5
49,50,501.05445180279617,408.3161638459652,5
50,51,507.2594871794872,577.551452991453,5
51,52,532.0331083930831,344.06094474905103,5
52,53,531.3310201249133,527.5381679389313,5
53,54,526.0655930871956,628.4281225451689,5
54,55,541.0483602001111,686.6711135816195,5
55,56,532.0112,281.4604,5
56,57,555.1452922077922,467.1772186147186,5
57,58,564.7724082073435,409.3944384449244,5
58,59,566.8435660218671,247.99074852817492,5
59,60,559.0003606202669,587.8016588532275,5
60,61,582.6563539587492,520.6214238190286,5
61,62,584.3178707224334,294.48022813688215,5
62,63,597.4010125233146,353.93764988009593,5
63,64,599.5565610859728,612.2466063348417,5
64,65,617.7738907849829,563.0952787258248,5
65,66,609.1039390930156,656.2131744455478,5
66,67,622.1232954545454,463.5150568181818,5
67,68,623.5083102493074,408.3898891966759,5
68,69,620.0790273556231,264.45440729483283,5
69,70,637.2438336856942,311.06871035940804,5
70,71,642.9304794520548,510.2051369863014,5
71,72,662.6442091754892,362.246711581649,5
72,73,655.4531177829099,605.1464203233256,5
73,74,674.6619850187266,426.15917602996257,5
74,75,671.8251366120219,552.2808743169398,5
75,76,685.8348264277715,473.2984322508399,5
76,77,690.9055319148936,515.1582978723404,5
77,80,233.10795454545453,536.1808712121212,5
0,1,240.4063759618908,481.3722975448882,6
1,2,243.0406320541761,571.5146726862303,6
2,3,249.0174703004892,396.4870719776381,6
3,4,270.7710657945364,431.9442093112736,6
4,5,270.67396142433233,530.5812314540059,6
5,6,277.41151919866445,352.65164162493045,6
6,7,272.8140267927502,593.6564223798266,6
7,8,292.3312603648425,663.509535655058,6
8,9,289.75922592259224,476.7200720072007,6
9,10,317.1417519341153,567.1619665585226,6
10,11,307.5123691722169,622.1208372978116,6
11,12,307.2949894142555,312.82780522230064,6
12,13,308.5971065322227,394.06313020605,6
13,14,319.5186852769023,273.9806393516434,6
14,15,326.6241111829347,510.4360051712993,6
15,16,332.6749169936613,440.2303048596438,6
16,17,334.0652728199898,347.4263131055584,6
17,18,344.8452830188679,652.4184486373166,6
18,19,337.8368336025848,699.5315024232633,6
19,20,358.7329618516931,311.798114016288,6
20,21,363.2520069808028,605.1507853403141,6
21,22,371.3784741144414,378.20136239782016,6
22,23,372.7682835820896,491.0194029850746,6
23,24,369.98109549200194,225.2612699951527,6
24,25,369.650431565968,269.8803945745993,6
25,26,385.0739500912964,544.3441874619598,6
26,27,383.9991251093613,720.4873140857393,6
27,28,376.9610194902549,686.0739630184908,6
28,29,391.9953822473064,433.4940995382247,6
29,30,407.3089395267309,643.0162138475022,6
30,31,409.6490696668109,290.843357853743,6
31,32,417.6611570247934,337.32390336935794,6
32,33,416.3644245142003,586.7710014947683,6
33,34,422.61985559566784,198.64332129963896,6
34,35,432.30299251870326,246.598753117207,6
35,36,430.4762340036563,489.7818403412553,6
36,37,436.8182421227197,729.518407960199,6
37,38,423.5482791586998,685.0320267686425,6
38,39,433.9658208182289,385.8508544795443,6
39,40,451.09590643274856,435.1874269005848,6
40,41,461.5074455899198,532.7081901489119,6
41,42,462.3982602118003,590.6134644478063,6
42,43,468.8475554205891,643.8730640753113,6
43,44,475.2606973058637,297.148705758056,6
44,45,470.5353535353535,352.2986385595081,6
45,46,480.5676625659051,692.6878734622144,6
46,47,492.08958773784354,230.1046511627907,6
47,48,517.8254556688291,197.9138090824838,6
48,49,495.5550568521843,478.8877917414722,6
49,50,500.7997581620314,408.1417170495768,6
50,51,506.6409654710024,577.9051290647,6
51,52,531.313025210084,344.7237394957983,6
52,53,531.9420388680531,526.5615410842141,6
53,54,524.590395480226,628.7489911218725,6
